id,departure,destination,date,company,model,leaveTime,leavePort,way,arriveTime,arrivePort,punctualRate,lowestPrice
1,北京,西安,2月12日,东方航空,MU2102,08:00,大兴,直飞,10:15,咸阳T3,91%,323
2,北京,西安,2月12日,东方航空,MU2112,15:55,大兴,直飞,18:25,咸阳T3,100%,368
3,北京,西安,2月12日,中国国航,CA1231,07:25,首都T3,直飞,09:55,咸阳T2,85%,400
4,北京,西安,2月12日,深圳航空,ZH1231,07:25,首都T3,直飞,09:55,咸阳T2,85%,400
5,北京,西安,2月12日,四川航空,3U1639,11:00,大兴,直飞,13:15,咸阳T3,100%,400
6,北京,西安,2月12日,南方航空,CZ8823,11:00,大兴,直飞,13:15,咸阳T3,100%,400
7,北京,西安,2月12日,深圳航空,ZH1235,17:00,首都T3,直飞,19:15,咸阳T2,100%,400
8,北京,西安,2月12日,中国国航,CA1235,17:00,首都T3,直飞,19:15,咸阳T2,100%,400
9,北京,西安,2月12日,中国国航,CA1209,09:55,首都T3,直飞,12:30,咸阳T2,91%,450
10,北京,西安,2月12日,深圳航空,ZH1209,09:55,首都T3,直飞,12:30,咸阳T2,91%,450
11,北京,西安,2月12日,深圳航空,ZH1201,14:30,首都T3,直飞,16:55,咸阳T2,96%,450
12,北京,西安,2月12日,华夏航空,G58190,14:30,首都T3,直飞,16:55,咸阳T2,96%,450
13,北京,西安,2月12日,中国国航,CA1201,14:30,首都T3,直飞,16:55,咸阳T2,96%,450
14,北京,西安,2月12日,深圳航空,ZH1205,20:00,首都T3,直飞,22:20,咸阳T2,100%,450
15,北京,西安,2月12日,中国国航,CA1205,20:00,首都T3,直飞,22:20,咸阳T2,100%,450
16,北京,西安,2月12日,厦门航空,MF4205,11:00,大兴,直飞,13:15,咸阳T3,100%,830
17,北京,西安,2月12日,厦门航空,MF3281,08:00,大兴,直飞,10:15,咸阳T3,91%,1120
18,上海,西安,2月12日,东方航空,MU2226,09:30,浦东T1,直飞,12:20,咸阳T3,100%,379
19,上海,西安,2月12日,东方航空,MU2240,23:00,虹桥T2,直飞,01:35,咸阳T3,100%,379
20,上海,西安,2月12日,四川航空,3U5016,09:30,浦东T1,直飞,12:20,咸阳T3,100%,410
21,上海,西安,2月12日,四川航空,3U1317,19:55,浦东T2,直飞,22:50,咸阳T3,100%,450
22,上海,西安,2月12日,南方航空,CZ6167,19:55,浦东T2,直飞,22:50,咸阳T3,100%,450
23,上海,西安,2月12日,海南航空,HU7846,12:55,浦东T2,直飞,15:45,咸阳T2,95%,500
24,上海,西安,2月12日,春秋航空,9C8845,06:55,虹桥T1,直飞,09:30,咸阳T2,100%,520
25,上海,西安,2月12日,吉祥航空,HO5515,08:30,浦东T2,直飞,11:15,咸阳T2,75%,560
26,上海,西安,2月12日,深圳航空,ZH4095,08:30,浦东T2,直飞,11:15,咸阳T2,75%,560
27,上海,西安,2月12日,中国国航,CA8325,08:30,浦东T2,直飞,11:15,咸阳T2,75%,560
28,上海,西安,2月12日,春秋航空,9C8947,14:25,虹桥T1,直飞,17:10,咸阳T2,100%,600
29,上海,西安,2月12日,吉祥航空,HO1009,08:15,浦东T2,直飞,11:00,咸阳T3,100%,620
30,上海,西安,2月12日,深圳航空,ZH5003,08:15,浦东T2,直飞,11:00,咸阳T3,100%,620
31,上海,西安,2月12日,上海航空,FM9201,08:15,虹桥T2,直飞,10:55,咸阳T3,100%,672
32,上海,西安,2月12日,中国国航,CA3269,11:50,虹桥T2,直飞,14:25,咸阳T3,100%,820
33,上海,西安,2月12日,吉祥航空,HO1211,11:50,虹桥T2,直飞,14:25,咸阳T3,100%,820
34,上海,西安,2月12日,深圳航空,ZH5087,11:50,虹桥T2,直飞,14:25,咸阳T3,100%,820
35,上海,西安,2月12日,东方航空,MU8359,08:15,虹桥T2,直飞,10:55,咸阳T3,100%,864
36,上海,西安,2月12日,东方航空,MU2156,13:20,虹桥T2,直飞,15:50,咸阳T3,83%,864
37,上海,西安,2月12日,吉祥航空,HO5613,13:20,虹桥T2,直飞,15:50,咸阳T3,83%,900
38,上海,西安,2月12日,东方航空,MU3415,08:15,浦东T2,直飞,11:00,咸阳T3,100%,1090
39,上海,西安,2月12日,东方航空,MU3405,11:50,虹桥T2,直飞,14:25,咸阳T3,100%,1090
40,上海,西安,2月12日,厦门航空,MF3135,23:00,虹桥T2,直飞,01:35,咸阳T3,100%,1110
41,广州,西安,2月12日,九元航空,AQ1105,06:20,白云T1,直飞,08:50,咸阳T2,100%,499
42,广州,西安,2月12日,四川航空,3U1083,08:55,白云T2,直飞,11:40,咸阳T3,100%,560
43,广州,西安,2月12日,南方航空,CZ3237,08:55,白云T2,直飞,11:40,咸阳T3,100%,560
44,广州,西安,2月12日,海南航空,HU7858,20:05,白云T1,直飞,22:40,咸阳T2,100%,670
45,广州,西安,2月12日,四川航空,3U1065,20:20,白云T2,直飞,22:55,咸阳T3,100%,690
46,广州,西安,2月12日,南方航空,CZ3211,20:20,白云T2,直飞,22:55,咸阳T3,100%,690
47,广州,西安,2月12日,四川航空,3U1079,19:20,白云T2,直飞,22:00,咸阳T3,83%,710
48,广州,西安,2月12日,南方航空,CZ3231,19:20,白云T2,直飞,22:00,咸阳T3,83%,710
49,广州,西安,2月12日,东方航空,MU2302,13:40,白云T1,直飞,16:25,咸阳T3,88%,713
50,广州,西安,2月12日,深圳航空,ZH9221,08:35,白云T1,直飞,11:10,咸阳T2,100%,720
51,广州,西安,2月12日,华夏航空,G59039,08:35,白云T1,直飞,11:10,咸阳T2,100%,720
52,广州,西安,2月12日,昆明航空,KY9221,08:35,白云T1,直飞,11:10,咸阳T2,100%,720
53,广州,西安,2月12日,中国国航,CA3521,08:35,白云T1,直飞,11:10,咸阳T2,100%,720
54,广州,西安,2月12日,四川航空,3U1069,13:05,白云T2,直飞,15:45,咸阳T3,100%,740
