id,departure,destination,date,company,model,leaveTime,leavePort,way,arriveTime,arrivePort,punctualRate,lowestPrice
1,西安,北京,2月12日,东方航空,MU2119,22:30,咸阳T3,直飞,00:40,大兴,100%,378
2,西安,北京,2月12日,东方航空,MU2107,12:00,咸阳T3,直飞,14:10,大兴,33%,425
3,西安,北京,2月12日,东方航空,MU2109,13:30,咸阳T3,直飞,15:40,大兴,91%,470
4,西安,北京,2月12日,深圳航空,ZH1206,08:30,咸阳T2,直飞,10:45,首都T3,100%,500
5,西安,北京,2月12日,中国国航,CA1206,08:30,咸阳T2,直飞,10:45,首都T3,100%,500
6,西安,北京,2月12日,深圳航空,ZH1236,20:30,咸阳T2,直飞,22:45,首都T3,94%,500
7,西安,北京,2月12日,中国国航,CA1236,20:30,咸阳T2,直飞,22:45,首都T3,94%,500
8,西安,北京,2月12日,中国国航,CA1232,11:00,咸阳T2,直飞,13:15,首都T3,100%,550
9,西安,北京,2月12日,深圳航空,ZH1232,11:00,咸阳T2,直飞,13:15,首都T3,100%,550
10,西安,北京,2月12日,中国国航,CA1210,14:00,咸阳T2,直飞,16:15,首都T3,94%,550
11,西安,北京,2月12日,深圳航空,ZH1210,14:00,咸阳T2,直飞,16:15,首都T3,94%,550
12,西安,北京,2月12日,华夏航空,G58189,18:20,咸阳T2,直飞,20:35,首都T3,86%,550
13,西安,北京,2月12日,深圳航空,ZH1202,18:20,咸阳T2,直飞,20:35,首都T3,86%,550
14,西安,北京,2月12日,中国国航,CA1202,18:20,咸阳T2,直飞,20:35,首都T3,86%,550
15,西安,北京,2月12日,四川航空,3U1640,14:30,咸阳T3,直飞,16:40,大兴,86%,600
16,西安,北京,2月12日,南方航空,CZ8824,14:30,咸阳T3,直飞,16:40,大兴,86%,600
17,西安,北京,2月12日,厦门航空,MF4206,14:30,咸阳T3,直飞,16:40,大兴,86%,890
18,西安,北京,2月12日,厦门航空,MF3278,22:30,咸阳T3,直飞,00:40,大兴,100%,1120
19,西安,上海,2月12日,春秋航空,9C8846,21:30,咸阳T2,直飞,23:55,虹桥T1,100%,620
20,西安,上海,2月12日,东方航空,MU2225,13:50,咸阳T3,直飞,16:15,浦东T1,50%,752
21,西安,上海,2月12日,四川航空,3U5015,13:50,咸阳T3,直飞,16:15,浦东T1,50%,800
22,西安,上海,2月12日,吉祥航空,HO1010,16:30,咸阳T3,直飞,19:05,浦东T2,60%,820
23,西安,上海,2月12日,深圳航空,ZH5004,16:30,咸阳T3,直飞,19:05,浦东T2,60%,820
24,西安,上海,2月12日,春秋航空,9C8948,19:00,咸阳T2,直飞,21:05,虹桥T1,50%,820
25,西安,上海,2月12日,南方航空,CZ6168,07:30,咸阳T3,直飞,10:00,浦东T2,100%,860
26,西安,上海,2月12日,东方航空,MU2239,06:30,咸阳T3,直飞,08:55,虹桥T2,100%,864
27,西安,上海,2月12日,吉祥航空,HO5516,12:30,咸阳T2,直飞,14:45,浦东T2,66%,890
28,西安,上海,2月12日,深圳航空,ZH4096,12:30,咸阳T2,直飞,14:45,浦东T2,66%,890
29,西安,上海,2月12日,中国国航,CA8326,12:30,咸阳T2,直飞,14:45,浦东T2,66%,890
30,西安,上海,2月12日,吉祥航空,HO1212,15:30,咸阳T3,直飞,17:50,虹桥T2,21%,920
31,西安,上海,2月12日,深圳航空,ZH5088,15:30,咸阳T3,直飞,17:50,虹桥T2,21%,920
32,西安,上海,2月12日,中国国航,CA3270,15:30,咸阳T3,直飞,17:50,虹桥T2,21%,920
33,西安,上海,2月12日,四川航空,3U1318,07:30,咸阳T3,直飞,10:00,浦东T2,100%,960
34,西安,上海,2月12日,海南航空,HU7845,09:30,咸阳T2,直飞,11:45,浦东T2,83%,990
35,西安,上海,2月12日,东方航空,MU3406,15:30,咸阳T3,直飞,17:50,虹桥T2,21%,1090
36,西安,上海,2月12日,东方航空,MU3416,16:30,咸阳T3,直飞,19:05,浦东T2,60%,1090
37,西安,上海,2月12日,上海航空,FM9202,12:00,咸阳T3,直飞,14:20,虹桥T2,96%,1175
38,西安,上海,2月12日,厦门航空,MF3134,06:30,咸阳T3,直飞,08:55,虹桥T2,100%,1330
39,西安,上海,2月12日,东方航空,MU2153,10:00,咸阳T3,直飞,12:15,虹桥T2,93%,1345
40,西安,上海,2月12日,吉祥航空,HO5612,10:00,咸阳T3,直飞,12:15,虹桥T2,93%,1350
41,西安,上海,2月12日,东方航空,MU8360,12:00,咸阳T3,直飞,14:20,虹桥T2,96%,1544
42,西安,广州,2月12日,九元航空,AQ1106,22:30,咸阳T2,直飞,01:15,白云T1,91%,889
43,西安,广州,2月12日,厦门航空,MF1215,20:00,咸阳T3,直飞,22:45,白云T2,100%,1000
44,西安,广州,2月12日,四川航空,3U1072,20:00,咸阳T3,直飞,22:45,白云T2,100%,1000
45,西安,广州,2月12日,南方航空,CZ3218,20:00,咸阳T3,直飞,22:45,白云T2,100%,1000
46,西安,广州,2月12日,海南航空,HU7857,15:30,咸阳T2,直飞,18:25,白云T1,100%,1110
47,西安,广州,2月12日,厦门航空,MF1235,13:00,咸阳T3,直飞,15:45,白云T2,100%,1180
48,西安,广州,2月12日,四川航空,3U1084,13:00,咸阳T3,直飞,15:45,白云T2,100%,1180
49,西安,广州,2月12日,南方航空,CZ3238,13:00,咸阳T3,直飞,15:45,白云T2,100%,1180
